Ques,Label
What do you do when you’re not working?,1
Did you choose your profession or did it choose you?,1
What would you do if you won the lottery?,1
What is your favorite way to relax?,1
What is your favorite book to read? – or – What is your favorite song or favorite movie?,1
What makes you laugh the most?,1
What is your favorite holiday?,1
What was the last book you read/movie you saw?,1
What are your favorite TV shows?,1
What is one thing you’re glad you tried but would never do again?,1
"When people come to you for help, what do they usually want help with?",1
Who’s your go-to band or artist when you can’t decide on something to listen to?,1
What’s something you like to do the old-fashioned way?,1
What is something you have only recently formed an opinion about?,1
What are you interested in that most people haven’t heard of?,1
What is something you think everyone should do at least once in their lives?,1
What is something that people are obsessed with but you just don’t get the point of?,1
Where is the most interesting place you’ve been?,1
What is the luckiest thing that has happened to you?,1
What is your biggest pet peeve with modern technology?,1
What object have you been searching for with no luck?,1
What social customs do you wish would just disappear?,1
What quirky things do people do where you are from?,1
Who or where would you haunt if you were a ghost?,1
What is your favorite color?,1
What’s your favorite time of the year?,1
Do you ever binge on TV-shows?,1
Do you work out?,1
What do you like to eat?,1
Would you take a trip to outer space?,1
What’s your favorite cartoon?,1
Do you play any sports?,1
What’s your drink of choice?,1
Is there any movie actor you just can’t stand?,1
Do you go for stability or uncertainty?,1
How often do you go to restaurants?,1
What are the hobbies you never found time for thus far?,1
What’s your take on all the superhero movies that became so popular lately?,1
"If you could magically learn one language, which one would you pick?",1
What’s a movie that everyone seems to love which is just whatever for you?,1
"Do you think video game tournaments stand any chance of becoming as popular as, say, football?",1
Are you more of a doer or a thinker?,1
"Generally speaking, hot or cold beverages?",1
Do you ever speak in movie quotes?,1
iPhone or Android?,1
Would you like to own a business someday?,1
Can you stand watching cheesy movies?,1
Are you into collecting?,1
Sweet or savory?,1
"Do you watch TV, Youtube, or other video sites?",1
Do you believe in horoscopes?,1
Are you into the meme culture?,1
Do you have any siblings?,1
"What do you think about really old movies and TV shows, stuff that might be considered a bit cheesy nowadays?",1
Do you often daydream or fantasize about something?,1
What extracurriculars did you take in school?,1
Which movie would you say resembles your life the most?,1
Do you ever get deja vu?,1
What kind of toys did you like as a kid?,1
Do you vote?,1
Are you careful about the type of media you pay attention to?,1
Have you ever successfully given up a bad habit?,1
Would you call yourself a mindful person?,1
Did you get a job in your field after you’ve graduated?,1
Did you have an imaginary friend as a kid?,1
Do you ever think of pursuing a new career path?,1
"What would you do to pass time if you were shut inside a small cabin, alone for months, high up in the mountains?",1
Did your family have money when you were growing up?,1
Is it easy for you not to take sides in family arguments?,1
What do you think about reality TV?,1
Do you like celebrating your birthday?,1
What was your favorite game as a kid?,1
Do you care how you’re going to be buried?,1
Do you keep in contact with your schoolmates?,1
What portion of a billion dollars would you give to charity?,1
Did you do well in school?,1
Have you ever stolen from a supermarket?,1
Do you enjoy the thrill of gambling?,1
What’s your guilty pleasure food?,1
How much time can you spend bathing?,1
What was your favorite subject in school?,1
What’s the most dangerous situation you’ve willingly put yourself into?,1
Do you actively seek comfort in life?,1
Would you own a gun if it was legal in your country?,1
What’s your definition of love?,1
Do you actively try to avoid negative experiences in life?,1
What stops you from being happier?,1
Could you kill to save your own life?,1
Do you believe in a bright future for humanity?,1
Do you have a purpose guiding you through life?,1
Do you often go against yourself?,1
Have you ever went truly berserk?,1
Do you ever think about humans going extinct?,1
Would you be afraid of seeing a psychologist?,1
Do you think violent entertainment causes or prevents real violence?,1
Were you ever tempted to consciously choose evil over good?,1
"Have you ever seriously considered dropping everything and living a simpler life, away from everything?",1
Do you have an “unfinished” relationship with anyone?,1
Would you ever date someone with a face tattoo?,1
What do you think about advertisements that target kids?,1
Are there any people you’d give up your kidney for?,1
What’s one thing you’d change about yourself?,1
Are you often guilty of not following your own beliefs?,1
"If you had a year left to live, what would you do?",1
What’s the evilest thing you have ever witnessed?,1
What do you think about vegan activism?,1
What’s the biggest personality change you’ve undergone?,1
"Would you steal or beg for food if you were homeless with no money, and working was not an option for some reason?",1
Are you concerned by the thought of being spied on by a government or a corporate entity?,1
Do you think death will come easily?,1
What do you think about romanticizing crime and debauchery in media?,1
What would you do if you realized you have a relationship with a destructive person?,1
Do you think any real value can be extracted from shock entertainment such as horror films?,1
Would you want to be present at your child’s birth?,1
What’s the best birthday gift you ever got?,1
What makes a man?,1
Would you date someone who had plastic surgery?,1
What do you think of romantic comedies?,1
Would you prefer a son or a daughter?,1
"When you were a child, did you like your dad or your mom more?",1
Do you think you’d be a good dad?,1
How do you feel about beards?,1
Do girls have it easier than guys?,1
What would you do if your kid came home drunk?,1
Have you ever been in a fight?,1
How do you feel after an argument?,1
What’s the craziest thing you did on a dare?,1
How old were you when you first felt like a man?,1
What do you look for in a relationship?,1
What would you think if a guy spent more time on his looks than you?,1
What are your dreams for the future?,1
What do you think about guys with long hair?,1
Did you ever cheat on exams?,1
