Ques,Label
How is the weather currently?,4
Can you tell me what the current weather is?,4
What conditions are outside today?,4
Is it going to rain today?,4
How hot will it be this afternoon?,4
What is the current temperature outside?,4
Is there a chance of thunderstorms later?,4
How windy is it outside?,4
What is the humidity level today?,4
Will it be cooler or warmer today?,4
Is there a storm moving in?,4
Is there a chance of a sunny day?,4
How cold will it be this afternoon?,4
Will it be hot or cold today?,4
How cold is it outside?,4
Will it be rainy today?,4
How humid is it outside?,4
How hot will it be this afternoon?,4
How sunny is it outside?,4
Is it going to be hot today?,4
How rainy will it be this afternoon?,4
Is there a chance of cold?,4
Is it going to be sunny today?,4
How humid is it outside?,4
How windy will it be this afternoon?,4
How cold will it be this afternoon?,4
Is there a chance of humid?,4
Is it going to be humid today?,4
Will it be hotter or cooler today?,4
How rainy is it outside?,4
How hot will it be this afternoon?,4
Is there a chance of windy?,4
How sunny will it be this afternoon?,4
How hot will it be this afternoon?,4
How cold will it be this afternoon?,4
How rainy is it outside?,4
How cold is it outside?,4
Will it be warmer or chilly today?,4
Is there a chance of windy?,4
How rainy is it outside?,4
How humid will it be this afternoon?,4
How humid will it be this afternoon?,4
How windy is it outside?,4
Is it going to be sunny today?,4
Is it going to be hot today?,4
How rainy will it be this afternoon?,4
How sunny is it outside?,4
Is there a chance of rainy?,4
Is there a chance of rainy?,4
Is it going to be humid today?,4
How humid is it outside?,4
Is it going to be rainy today?,4
Is there a chance of cold?,4
Is it going to be sunny today?,4
How hot will it be this afternoon?,4
How rainy will it be this afternoon?,4
Will it be more humid or less humid today?,4
How humid will it be this afternoon?,4
Is there a chance of windy?,4
Is there a chance of rain?,4
Is it going to be humid today?,4
Is it going to be windy today?,4
How sunny is it outside?,4
How humid is it outside?,4
Will it be mild rainy or heavy rainy today?,4
How windy will it be this afternoon?,4
Is there a chance of cold?,4
Is there a chance of sunny?,4
Is there a chance of sunny?,4
Is it going to be humid today?,4
How sunny is it outside?,4
How cold will it be this afternoon?,4
How rainy is it outside?,4
How hot will it be this afternoon?,4
Is it going to be cold today?,4
Is it going to be cold today?,4
Is it going to be hot today?,4
How humid is it outside?,4
Are there heavy rains today?,4
How humid is it outside?,4
Is there a chance of wind?,4
Is it going to be hot today?,4
How hot will it be this afternoon?,4
How rainy is it outside?,4
How humid will it be this afternoon?,4
How cold is it outside?,4
How humid is it outside?,4
Is there a chance of sunny?,4
Is it going to be cold today?,4
Is there a chance of hot?,4
How hot will it be this afternoon?,4
Is it going to be humid today?,4
Is it going to be hot today?,4
Is there a chance of cold?,4
Is it going to be sunny today?,4
How hot will it be this afternoon?,4
Is there a chance of sunny?,4
How humid is it outside?,4
Is there a chance of sunny?,4
Will it be less hot or hotter today?,4
How cold is it outside?,4
Will it be windier or less windy today?,4
Is there a chance of cold?,4
Will it be sunny or cloudy today?,4
How windy is it outside?,4
Is there a chance of hot?,4
How humid will it be this afternoon?,4
Is there a chance of rain?,4
Is it going to be windy today?,4
Is it going to be hot today?,4
How hot is it outside?,4
Is it going to be cold today?,4
Will it be cold or cold today?,4
How windy is it outside?,4
Is there a chance of hot?,4
Is there a chance of hot?,4
Is there a chance of being humid?,4
How rainy is it outside?,4
Is it going to be windy today?,4
Is there a chance of hot?,4
How cold will it be this afternoon?,4
How sunny is it outside?,4
How rainy will it be this afternoon?,4
Is there a chance of windy?,4
How cold is it outside?,4
How sunny is it outside?,4
How windy will it be this afternoon?,4
Is it going to be sunny today?,4
How humid will it be this afternoon?,4
How rainy will it be this afternoon?,4
Is there a chance of cold?,4
Is it going to be humid today?,4
Is there a chance of wind?,4
Is there a chance of sunny?,4
Is there a chance of cold?,4
How sunny is it outside?,4
Is it going to be sunny today?,4
How windy will it be this afternoon?,4
Is it going to be rainy today?,4
Is there a chance of humid?,4
How humid is it outside?,4
How cold is it outside?,4
How windy is it outside?,4
Is it going to be cold today?,4
Is it going to be windy today?,4
Is there a chance of cold?,4
Is it going to be windy today?,4
How rainy is it outside?,4
How humid will it be this afternoon?,4
How sunny will it be this afternoon?,4
Is it going to be hot today?,4
Is there a chance of rainy?,4
Is there a chance of hot?,4
Is it going to be hot today?,4
How rainy will it be this afternoon?,4
Is there a chance of sunny?,4
Is there a chance of rainy?,4
How rainy will it be this afternoon?,4
How hot will it be this afternoon?,4
Is it going to be windy today?,4
Is it going to be humid today?,4
How cold will it be this afternoon?,4
How hot is it outside?,4
Is it going to be rainy today?,4
Is there a chance of cold?,4
How sunny is it outside?,4
How humid will it be this afternoon?,4
Is there a chance of windy?,4
Is it going to be rainy today?,4
How rainy is it outside?,4
Is there a chance of rainy?,4
How windy will it be this afternoon?,4
How cold is it outside?,4
How humid will it be this afternoon?,4
Is there a chance of hot?,4
Is there a chance of sunny?,4
How sunny is it outside?,4
Is there a chance of rain?,4
Will it be humid or windy today?,4
How windy will it be this afternoon?,4
How sunny will it be this afternoon?,4
Is there a chance of wind?,4
Will it be hot or not today?,4
Will it be cold or not today?,4
Will it be hot or cold today?,4
How humid will it be this afternoon?,4
How humid will it be this afternoon?,4
How humid is it outside?,4
How rainy is it outside?,4
Will it be rainy or windy today?,4
How windy will it be this afternoon?,4
How hot is it outside?,4
How rainy is it outside?,4
What is the highest temperature expected today?,4
What is the expected low temperature tonight?,4
How much precipitation is expected today?,4
Will it be foggy in the morning?,4
Is a cold front coming through?,4
What is the current weather like?,4
Can you tell me about the current weather conditions?,4
Is it hot or cold outside currently?,4
What kind of weather are we experiencing at the moment?,4
How does the weather look like right now?,4
Can you give me an update on the current weather?,4
Is it sunny or cloudy outside currently?,4
What's the weather like currently?,4
Can you describe the current weather to me?,4
Is it raining or snowing outside currently?,4
How is the current weather looking?,4
Can you give me a report on the current weather?,4
Is it windy or calm outside currently?,4
What's the current temperature like?,4
Can you tell me if it's a good day to be outside currently?,4
What's the current weather forecast?,4
Is it a nice day outside currently?,4
Can you give me an idea of what the weather is like currently?,4
How is the weather treating us currently?,4
What's the forecast for this afternoon's temperature?,4
Can you tell me how cold it will be this afternoon?,4
How cold should I expect it to be this afternoon?,4
What's the temperature going to be like this afternoon?,4
Is it going to be chilly this afternoon?,4
Can you give me an estimate of the temperature this afternoon?,4
How will the temperature be this afternoon?,4
What should I expect the temperature to be this afternoon?,4
Will it be cold this afternoon?,4
Can you give me an idea of the temperature for this afternoon?,4
How low will the temperature go this afternoon?,4
Will it be freezing this afternoon?,4
What's the low temperature for this afternoon?,4
How cold will it get this afternoon?,4
Will it be below freezing this afternoon?,4
What's the expected temperature range for this afternoon?,4
How cold will it be in the afternoon?,4
Will it be chilly or warm this afternoon?,4
What's the temperature outlook for this afternoon?,4
Will it be cool or mild this afternoon?,4
How will the temperature compare to the morning this afternoon?,4
What's the high temperature for this afternoon?,4
How will the temperature change throughout the day this afternoon?,4
Will it be comfortable or uncomfortable this afternoon?,4
What's the expected temperature high and low for this afternoon?,4
How will the temperature be this afternoon compared to yesterday?,4
What's the temperature range for this afternoon?,4
How will the temperature fluctuate this afternoon?,4
Will it be warm or cool this afternoon?,4
What's the expected temperature for this afternoon?,4
How cold will it be in comparison to the morning this afternoon?,4
Will it be freezing or just cold this afternoon?,4
What's the expected temperature deviation for this afternoon?,4
How will the temperature vary this afternoon?,4
Will it be freezing or just chilly this afternoon?,4
What's the temperature difference for this afternoon?,4
How will the temperature be affected by the wind this afternoon?,4
Will it be freezing or just nippy this afternoon?,4
What's the temperature forecast for this afternoon?,4
How will the temperature be impacted by the humidity this afternoon?,4
Will it be freezing or just brisk this afternoon?,4
What's the temperature prediction for this afternoon?,4
How will the temperature be influenced by the pressure this afternoon?,4
Will it be freezing or just cool this afternoon?,4
What's the temperature projection for this afternoon?,4
How will the temperature be affected by the clouds this afternoon?,4
Will it be freezing or just fresh this afternoon?,4
What's the temperature expectation for this afternoon?,4
How will the temperature be impacted by the precipitation this afternoon?,4
Will it rain today?,4
Will we see any precipitation today?,4
Is there a chance of rain today?,4
Is the forecast calling for rain today?,4
Will it be a rainy day today?,4
Is there any chance of a shower today?,4
Will it be wet outside today?,4
Is it going to be a rainy day today?,4
Are we expecting any rain today?,4
Will we need umbrellas today?,4
Is it going to be a dry day or a wet day today?,4
Will it be a good day to wear a raincoat today?,4
Is there a storm coming today?,4
Are we in for some wet weather today?,4
Will it rain or be sunny today?,4
Will we see any thunderstorms today?,4
Will we need to take cover today?,4
Is there any chance of a downpour today?,4
Are we expecting any wet weather today?,4
Is it going to rain or stay dry today?,4
Will it be a good day to enjoy the outdoors today?,4
Will we need to grab our rain boots today?,4
Will it be a good day to stay indoors today?,4
Is there any chance of drizzle today?,4
Are we expecting any scattered showers today?,4
Will it be a rainy or a dry day today?,4
Will we need to prepare for any flooding today?,4
Is it going to be a wet or a dry day today?,4
Will it be a good day to go for a walk today?,4
Is there any chance of light rain today?,4
Are we expecting any heavy rain today?,4
Will it be a good day to go for a swim today?,4
Will we need to pack an umbrella today?,4
Is there any chance of a drizzle or a downpour today?,4
Are we expecting any shower or storm today?,4
Will it be a good day to have a picnic today?,4
Is it going to be a rainy or a dry day today?,4
Will we need to keep an eye on the weather forecast today?,4
Is there any chance of a storm or a shower today?,4
