question,label
What are the,39
How to save money?,34
How is,39
How is your dancing career?,34
Why is,39
How is your teaching career?,34
What is ethics?,34
Can I,39
How to be happy?,34
Should I,39
Can I,39
Why are there different languages?,34
Why are,39
Could you give me a list of your services?,34
Can I,39
How to,39
Should I,39
Should we,39
Could you tell me more about your product?,34
Why are,39
Should I,39
Are we,39
Why is,39
How is your life?,34
What are the top movies of all time?,34
Why is,39
Are we going to need more supplies?,34
Why is the world so diverse?,34
What are the,39
How are,39
Should we go on a road trip?,34
Should I exercise more?,34
How is your relationship with your colleagues?,34
Are we,39
How is your relationship with your extended family?,34
Could you give me a sample of your work?,34
Why are some people allergic to certain foods?,34
Why is,39
What are the main types of mental disorders?,34
How is,39
Can I have a library card?,34
Can I,39
Why are some people nervous?,34
Can I,39
Can I ask for your name?,34
Can I help you with something?,34
How to deal with frustration?,34
Can I,39
What are the best ways to reduce stress and improve mental health?,34
Why is money important?,34
How to reduce anxiety?,34
How is your job?,34
Are we ready to start?,34
How to set goals?,34
What are the benefits of a vegetarian diet?,34
What are,39
Could you,39
How is,39
Could you,39
Why is fear so common in people?,34
How is your relationship with your country?,34
Should I read more often?,34
Should we take a dance class?,34
Why are there so many different types of trees?,34
Should we try a new outdoor activity?,34
Should I go on a diet?,34
Could you explain the concept to me in simpler terms?,34
Could you,39
Should I let it go?,34
Should we,39
Can I,39
Should we,39
Should I trust him/her?,34
Why are,39
Are we going to be able to make the world a better place?,34
What is kindness?,34
What is creativity?,34
Why are,39
Should I,39
Why is,39
How to,39
Why are there so many different types of flowers?,34
Why is music so powerful?,34
Why are,39
What is,39
Why is the Earth round?,34
Why is forgiveness important?,34
How are,39
How are the latest technologies changing our lives?,34
How is your leadership career?,34
Why are,39
Can I,39
Why is art so meaningful to people?,34
How to,39
What are the,39
Are we,39
What are the consequences of not getting enough sleep?,34
Why are there so many religions?,34
Can I,39
Why are some people rich and others poor?,34
How to learn a new language?,34
Why is the air we breathe so vital?,34
How to,39
Can I,39
Why are there so many different types of music?,34
What is the definition of truth?,34
Why is,39
Can I come with you?,34
How is your coaching career?,34
Why are,39
Can I,39
Should I,39
How is your management career?,34
Should I vote for this candidate?,34
How to be a good spouse?,34
Should we,39
Why are some people pessimistic?,34
Why is,39
Why is,39
Why are there so many different types of arachnids?,34
Should we,39
How is the environment doing?,34
Should we go on a vacation this year?,34
What are,39
What are the causes of global warming?,34
Can I,39
Are we going to be able to get tickets?,34
Why is,39
Could you,39
How to,39
How are the current political events affecting the world?,34
How to,39
How to overcome fear?,34
Why is,39
What are the most important skills for a software developer to have?,34
How to handle stress at work?,34
What are the steps to buying a house?,34
Should we join a book club?,34
Why are some people vegetarian?,34
Can you,39
Why are,39
How is,39
What are the top universities in the world?,34
Should we invest in stocks?,34
How is everything going?,34
Should we switch jobs?,34
How is,39
Can I have a discount on this item?,34
Are we going to be able to finish this?,34
What are the benefits of volunteering?,34
Are we,39
What is,39
Should we,39
Should I buy a new TV?,34
Can I have a nap?,34
How is,39
Why is,39
Why is,39
Why are,39
Why is physical activity important for children?,34
Why are people left or right-handed?,34
Are we,39
Should I,39
Can I,39
How to build a personal brand?,34
Should we,39
Why is,39
Can you help me understand this concept better?,34
Why are some animals herbivores?,34
How is,39
Can I,39
Should I join a club?,34
Why is self-confidence so important for personal development?,34
How is,39
How to start a garden?,34
Could you explain the pricing to me?,34
Why are people anxious?,34
Can I have a copy?,34
Could you,39
Can I,39
How to,39
Are we going to be able to finish in time?,34
Can I have a turtle?,34
How is,39
How is,39
How to maintain a healthy lifestyle?,34
Are we,39
Should we,39
How to,39
Why are people afraid of spiders?,34
What are,39
Why is kindness so rare?,34
Why are there so many different types of clouds?,34
How is,39
Should we,39
Could you,39
Should I go vegan?,34
What are,39
How to manage money?,34
Could you,39
How is,39
Why are there so many different types of sea creatures?,34
Why is exercise important?,34
Can I,39
Are we,39
How to make a difference in the world?,34
Could you,39
Can I,39
Should we start a family?,34
Are we going to be able to get a good result?,34
Why are,39
